entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,,PRODUCER,PRODUCER,PRODUCER,PRODUCER,PRODUCER,YAPIMCI
1,,"Katsuya Eguchi
","Katsuya Eguchi
","Katsuya Eguchi
","Katsuya Eguchi
","Katsuya Eguchi
","Katsuya Eguchi
"
2,,DIRECTORS,DIRECTORS,DIRECTORS,DIRECTORS,DIRECTORS,YÖNETMENLER
3,,"Isao Moro
Aya Kyogoku
","Isao Moro
Aya Kyogoku
","Isao Moro
Aya Kyogoku
","Isao Moro
Aya Kyogoku
","Isao Moro
Aya Kyogoku
","Isao Moro
Aya Kyogoku
"
4,,SCRIPT,SCRIPT,SCRIPT,SCRIPT,SCRIPT,SENARYO
5,,"Makoto Wada
","Makoto Wada
","Makoto Wada
","Makoto Wada
","Makoto Wada
","Makoto Wada
"
6,,PLANNING,PLANNING,PLANNING,PLANNING,PLANNING,PLANLAMA
7,,"Hazuki Katagai
Kazuyoshi Sensui
Kunio Watanabe
Arisa Hosaka
Keiko Kinoshita
","Hazuki Katagai
Kazuyoshi Sensui
Kunio Watanabe
Arisa Hosaka
Keiko Kinoshita
","Hazuki Katagai
Kazuyoshi Sensui
Kunio Watanabe
Arisa Hosaka
Keiko Kinoshita
","Hazuki Katagai
Kazuyoshi Sensui
Kunio Watanabe
Arisa Hosaka
Keiko Kinoshita
","Hazuki Katagai
Kazuyoshi Sensui
Kunio Watanabe
Arisa Hosaka
Keiko Kinoshita
","Hazuki Katagai
Kazuyoshi Sensui
Kunio Watanabe
Arisa Hosaka
Keiko Kinoshita
"
8,,DESIGN DIRECTORS,DESIGN DIRECTORS,DESIGN DIRECTORS,DESIGN DIRECTORS,DESIGN DIRECTORS,TASARIM YÖNETMENLERİ
9,,"Koji Takahashi
Ryuji Kobayashi
Akito Osanai
","Koji Takahashi
Ryuji Kobayashi
Akito Osanai
","Koji Takahashi
Ryuji Kobayashi
Akito Osanai
","Koji Takahashi
Ryuji Kobayashi
Akito Osanai
","Koji Takahashi
Ryuji Kobayashi
Akito Osanai
","Koji Takahashi
Ryuji Kobayashi
Akito Osanai
"
